epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,170.575,0.63596,1.12489,0.92463,0.99018,0.8514,0.60336,0.61319,0.4336,0.81304,0.6044,0.6548,0.42921,1.13317,2.17449,2.41613,1.44274,0.000867207,0.000867207,0.000867207
26,179.563,0.66954,1.13614,1.00379,0.98399,0.8972,0.53878,0.65035,0.48457,0.87643,0.55329,0.63449,0.45718,1.18253,2.20124,2.30534,1.47324,0.000886479,0.000886479,0.000886479
27,188.724,0.60692,0.93867,0.91039,0.95572,0.92531,0.5811,0.65628,0.49707,0.92531,0.5811,0.63445,0.47072,1.17622,1.98797,2.06912,1.48697,0.000904514,0.000904514,0.000904514
28,197.226,0.65589,0.98426,0.91009,0.98539,0.7795,0.7177,0.74151,0.50152,0.7795,0.7177,0.73929,0.51294,1.17576,1.671,1.81354,1.56236,0.000921311,0.000921311,0.000921311
29,203.232,0.57032,0.87797,0.82784,0.98642,0.7795,0.7177,0.74151,0.50152,0.7795,0.7177,0.73929,0.51294,1.17576,1.671,1.81354,1.56236,0.000936871,0.000936871,0.000936871
30,211.885,0.61315,1.09247,0.90933,0.96644,0.71952,0.89011,0.86267,0.55733,0.87709,0.81479,0.88267,0.58176,1.10003,1.52333,1.72271,1.54652,0.000951192,0.000951192,0.000951192
31,219.529,0.60691,0.97927,0.87233,0.96239,0.94225,0.79685,0.85075,0.49733,0.94225,0.79685,0.85075,0.55536,1.14418,1.55986,1.701,1.62864,0.000964276,0.000964276,0.000964276
32,227.309,0.60259,0.96995,0.8808,0.99776,0.84019,0.70879,0.73051,0.47878,0.94238,0.77914,0.83401,0.53588,1.22707,1.48424,1.88251,1.64852,0.000976122,0.000976122,0.000976122
33,232.769,0.63327,0.94622,0.93316,0.97022,0.84019,0.70879,0.73051,0.47878,0.94238,0.77914,0.83401,0.53588,1.22707,1.48424,1.88251,1.64852,0.000986731,0.000986731,0.000986731
34,241.095,0.65138,1.01363,0.92389,0.98174,0.80531,0.5989,0.74867,0.48893,0.92592,0.67033,0.76228,0.51458,1.22252,1.5913,1.92559,1.54146,0.000986239,0.000986239,0.000986239
35,249.707,0.59329,0.98277,0.9082,0.95851,0.82039,0.69813,0.71519,0.47705,0.91739,0.67033,0.73121,0.47755,1.14864,1.8594,1.93632,1.43296,0.00096561,0.00096561,0.00096561
36,257.902,0.62191,0.92647,0.87043,0.98836,0.74159,0.70879,0.70426,0.48179,0.74159,0.70879,0.71284,0.44275,1.09005,2.26644,1.76471,1.39787,0.000944981,0.000944981,0.000944981
37,263.995,0.61,0.94817,0.86661,0.98023,0.74159,0.70879,0.70426,0.48179,0.74159,0.70879,0.71284,0.44275,1.09005,2.26644,1.76471,1.39787,0.000924352,0.000924352,0.000924352
38,272.194,0.57035,1.14001,0.84127,0.97489,0.87205,0.75822,0.81474,0.55169,0.79815,0.68737,0.75791,0.47061,1.0902,2.65282,1.78593,1.38373,0.000903722,0.000903722,0.000903722
39,280.498,0.62233,0.94354,0.86055,0.98924,0.64369,0.78704,0.7877,0.53959,0.68328,0.70089,0.75362,0.46975,1.04883,2.36063,1.9884,1.3328,0.000883093,0.000883093,0.000883093
40,288.681,0.60339,0.93987,0.87515,0.99057,0.9479,0.67647,0.83195,0.57054,0.9479,0.67647,0.83195,0.53309,0.96186,1.83467,1.93788,1.2777,0.000862464,0.000862464,0.000862464
41,294.341,0.62747,0.95111,0.84061,1.00711,0.9479,0.67647,0.83195,0.57054,0.9479,0.67647,0.83195,0.53309,0.96186,1.83467,1.93788,1.2777,0.000841835,0.000841835,0.000841835
42,302.693,0.60656,1.16227,0.84829,0.95186,0.73912,0.77611,0.78175,0.51662,0.73912,0.77611,0.7926,0.54786,0.94145,1.6677,2.05357,1.30056,0.000821206,0.000821206,0.000821206
43,310.718,0.57133,1.05638,0.83045,0.96707,0.89182,0.53833,0.68707,0.44188,0.89182,0.53833,0.68707,0.53441,0.87051,1.69297,2.39709,1.25823,0.000800577,0.000800577,0.000800577
44,319.838,0.55864,0.98121,0.8092,0.95099,0.49865,0.56044,0.57439,0.37813,0.49865,0.56044,0.58496,0.41532,0.87843,1.91457,2.68713,1.29234,0.000779948,0.000779948,0.000779948
45,325.41,0.55185,0.83233,0.78203,0.9446,0.49865,0.56044,0.57439,0.37813,0.49865,0.56044,0.58496,0.41532,0.87843,1.91457,2.68713,1.29234,0.000759318,0.000759318,0.000759318
46,334.704,0.60257,0.98718,0.84229,0.95234,0.82606,0.56044,0.67828,0.46019,0.82606,0.56044,0.67403,0.48809,0.85847,1.7262,2.28587,1.27336,0.000738689,0.000738689,0.000738689
47,342.705,0.58146,0.94454,0.78127,0.9831,0.7775,0.77163,0.80235,0.58862,0.7775,0.77163,0.805,0.58225,0.76331,1.54259,1.6413,1.19486,0.00071806,0.00071806,0.00071806
48,350.916,0.55785,0.88284,0.73891,0.99048,0.91037,0.81669,0.86828,0.65036,0.91037,0.81669,0.86828,0.63422,0.73537,1.44754,1.54421,1.22098,0.000697431,0.000697431,0.000697431
49,356.184,0.57684,0.90429,0.7502,0.95283,0.91037,0.81669,0.86828,0.65036,0.91037,0.81669,0.86828,0.63422,0.73537,1.44754,1.54421,1.22098,0.000676802,0.000676802,0.000676802
50,364.681,0.53687,0.92542,0.76381,0.93988,0.92589,0.88209,0.87444,0.66727,0.92589,0.88209,0.87628,0.64532,0.74687,1.41788,1.57384,1.23542,0.000656173,0.000656173,0.000656173
51,373.544,0.54867,0.79341,0.73296,0.92264,0.85324,0.80203,0.79092,0.64662,0.85324,0.80203,0.79111,0.58165,0.71612,1.43781,1.68017,1.21549,0.000635544,0.000635544,0.000635544
52,382.807,0.52502,0.82885,0.78725,0.94895,0.91491,0.86462,0.87325,0.69774,0.91491,0.86462,0.87325,0.6618,0.74966,1.36134,1.70156,1.21524,0.000614915,0.000614915,0.000614915
53,389.01,0.54182,0.88332,0.72735,0.95214,0.91491,0.86462,0.87325,0.69774,0.91491,0.86462,0.87325,0.6618,0.74966,1.36134,1.70156,1.21524,0.000594286,0.000594286,0.000594286
54,397.552,0.58366,0.97079,0.78082,0.97061,0.98059,0.85165,0.88771,0.69288,0.98044,0.86255,0.8954,0.70215,0.78131,1.22644,1.54641,1.24198,0.000573656,0.000573656,0.000573656
55,407.614,0.51322,0.7763,0.66186,0.90767,0.98283,0.83808,0.86288,0.64148,0.98283,0.83808,0.86288,0.67928,0.83112,1.17146,1.33901,1.25301,0.000553027,0.000553027,0.000553027
56,416.552,0.51528,0.95865,0.69823,0.9255,0.96472,0.85165,0.90171,0.68905,0.96472,0.85165,0.90171,0.70868,0.78328,1.17538,1.28181,1.20754,0.000532398,0.000532398,0.000532398
57,423.153,0.49807,0.90645,0.69482,0.92888,0.96472,0.85165,0.90171,0.68905,0.96472,0.85165,0.90171,0.70868,0.78328,1.17538,1.28181,1.20754,0.000511769,0.000511769,0.000511769
58,432.719,0.55648,0.84545,0.74725,0.96682,0.96291,0.6978,0.70918,0.53423,0.96291,0.6978,0.70918,0.55004,0.74286,1.18874,1.24772,1.17153,0.00049114,0.00049114,0.00049114
59,441.869,0.59431,0.93359,0.75892,0.96888,0.96256,0.6978,0.7104,0.53364,0.96256,0.6978,0.7104,0.55726,0.76651,1.21143,1.24091,1.17468,0.000470511,0.000470511,0.000470511
60,452.181,0.5276,0.78865,0.69588,0.92491,0.96664,0.62088,0.64518,0.49122,0.96664,0.62088,0.64518,0.50326,0.79538,1.23569,1.24699,1.22759,0.000449882,0.000449882,0.000449882
61,461.841,0.53887,0.8732,0.71039,0.93831,0.92784,0.86002,0.89079,0.68852,0.92784,0.86002,0.89079,0.69963,0.79538,1.23569,1.24699,1.22759,0.000429253,0.000429253,0.000429253
62,472.316,0.4776,0.76822,0.64192,0.89822,0.96797,0.69391,0.70239,0.50814,0.96797,0.69391,0.70239,0.54308,0.81295,1.23959,1.25144,1.2726,0.000408623,0.000408623,0.000408623
63,481.603,0.46836,0.75072,0.66267,0.92096,0.97444,0.6558,0.66259,0.49499,0.97444,0.6558,0.66259,0.50107,0.84435,1.2674,1.31934,1.29677,0.000387994,0.000387994,0.000387994
64,490.752,0.49613,0.78076,0.66107,0.93137,0.98059,0.69422,0.69617,0.50463,0.98059,0.69422,0.69617,0.51705,0.87117,1.29738,1.28183,1.31709,0.000367365,0.000367365,0.000367365
65,498.672,0.50949,0.82232,0.67545,0.92041,0.87869,0.87399,0.86846,0.65891,0.87869,0.87399,0.86846,0.65895,0.87117,1.29738,1.28183,1.31709,0.000346736,0.000346736,0.000346736
66,507.914,0.51247,0.85316,0.64775,0.96614,0.93824,0.73626,0.72764,0.5212,0.93824,0.73626,0.72764,0.53389,0.87015,1.30274,1.25851,1.32128,0.000326107,0.000326107,0.000326107
67,517.272,0.49526,0.82309,0.64859,0.94273,0.97311,0.67444,0.69588,0.5122,0.97311,0.67444,0.69588,0.53921,0.88636,1.26623,1.24785,1.33417,0.000305478,0.000305478,0.000305478
68,526.946,0.46679,0.75097,0.63591,0.93139,0.99095,0.65346,0.69588,0.50542,0.99095,0.65346,0.69588,0.54291,0.90402,1.25421,1.21004,1.34184,0.000284849,0.000284849,0.000284849
69,535.674,0.48705,0.7574,0.68775,0.94328,0.95472,0.8463,0.88715,0.67078,0.95472,0.8463,0.88715,0.68872,0.90402,1.25421,1.21004,1.34184,0.00026422,0.00026422,0.00026422
70,545.706,0.42275,0.71569,0.61156,0.915,0.97345,0.61393,0.66098,0.5013,0.97345,0.61393,0.66098,0.51815,0.91716,1.20839,1.18257,1.34703,0.00024359,0.00024359,0.00024359
71,554.68,0.45,0.83971,1.08099,0.93014,0.98976,0.69126,0.73574,0.53989,0.98976,0.69126,0.73574,0.5755,0.90865,1.19253,1.15837,1.33681,0.000222961,0.000222961,0.000222961
72,563.509,0.40966,0.68881,0.94638,0.88076,0.92527,0.77473,0.7716,0.58526,0.92527,0.77473,0.7716,0.60862,0.90818,1.17406,1.15149,1.33352,0.000202332,0.000202332,0.000202332
73,570.706,0.37059,0.65533,0.83996,0.90163,0.94807,0.89011,0.88715,0.67449,0.94807,0.89011,0.88715,0.6879,0.90818,1.17406,1.15149,1.33352,0.000181703,0.000181703,0.000181703
74,579.955,0.3805,0.6911,0.74974,0.84038,0.89641,0.65934,0.65525,0.51815,0.89641,0.65934,0.65525,0.51447,0.93195,1.16346,1.19087,1.3344,0.000161074,0.000161074,0.000161074
75,589.46,0.39414,0.69528,0.80505,0.85657,0.92617,0.72768,0.73129,0.56824,0.92617,0.72768,0.73129,0.5725,0.94373,1.1615,1.25238,1.33502,0.000140445,0.000140445,0.000140445
76,599.722,0.39201,0.66628,0.7698,0.89096,0.94133,0.76293,0.77161,0.59743,0.94133,0.76293,0.77161,0.61203,0.92414,1.15605,1.29668,1.33112,0.000119816,0.000119816,0.000119816
77,606.878,0.40046,0.62195,0.77495,0.902,0.9603,0.87468,0.88715,0.68084,0.9603,0.87468,0.88715,0.69051,0.92414,1.15605,1.29668,1.33112,9.91865e-05,9.91865e-05,9.91865e-05
78,615.949,0.4028,0.70286,0.73279,0.8436,0.94132,0.71716,0.73131,0.55643,0.94132,0.71716,0.73131,0.58156,0.91684,1.14652,1.3102,1.32725,7.85574e-05,7.85574e-05,7.85574e-05
79,625.966,0.38024,0.6651,0.72869,0.86932,0.94576,0.74322,0.77161,0.59702,0.94576,0.74322,0.77161,0.61432,0.8878,1.13497,1.336,1.30513,5.79283e-05,5.79283e-05,5.79283e-05
80,635.396,0.37008,0.61308,0.72738,0.85388,0.94348,0.6908,0.73131,0.55547,0.94348,0.6908,0.73131,0.5798,0.8785,1.12507,1.33336,1.30207,3.72991e-05,3.72991e-05,3.72991e-05
