epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63732,0.6222,1.07055,1.24845,0.95314,0.68848,0.63736,0.67797,0.49419,0.68848,0.63736,0.68037,0.48602,0.9062,1.33264,2.45836,1.30516,3.334e-05,3.334e-05,3.334e-05
2,11.3686,0.6005,1.08726,1.11106,0.9667,0.68119,0.74725,0.76538,0.54691,0.68119,0.74725,0.76623,0.58643,0.87724,1.16943,2.04383,1.32794,8.23185e-05,8.23185e-05,8.23185e-05
3,17.4591,0.55532,0.87882,1.00053,0.97032,0.78762,0.81708,0.78478,0.5867,0.78762,0.81708,0.78472,0.59614,0.87404,1.1939,1.83609,1.34175,0.000130059,0.000130059,0.000130059
4,24.015,0.51361,0.89694,0.91469,0.92332,0.8512,0.75786,0.80067,0.59974,0.8512,0.75786,0.80421,0.59906,0.84432,1.47579,1.72775,1.28531,0.000176562,0.000176562,0.000176562
5,29.8085,0.5466,0.93021,0.94748,0.94459,0.89162,0.73974,0.8157,0.66566,0.91347,0.6373,0.75328,0.58748,0.86009,1.75359,1.69716,1.27242,0.000221828,0.000221828,0.000221828
6,35.4744,0.55417,0.88654,0.88662,0.95813,0.87187,0.7564,0.81733,0.63417,0.96721,0.67882,0.74463,0.59522,0.89903,1.80924,1.69591,1.27569,0.000265855,0.000265855,0.000265855
7,41.1195,0.5276,0.87098,0.8616,0.92425,0.94277,0.77388,0.82377,0.61719,0.98048,0.70879,0.74034,0.59362,0.91348,1.71023,1.66897,1.29881,0.000308645,0.000308645,0.000308645
8,46.7888,0.49603,0.84196,0.87428,0.92794,0.98307,0.70879,0.81856,0.62423,0.98307,0.70879,0.75696,0.60333,0.90107,1.57555,1.60328,1.29732,0.000350197,0.000350197,0.000350197
9,52.9064,0.60108,1.02331,0.92022,0.93562,0.95899,0.77893,0.87715,0.68483,0.95899,0.77893,0.87715,0.66695,0.84451,1.26315,1.45963,1.25319,0.000390511,0.000390511,0.000390511
10,59.2384,0.5107,0.92371,0.87586,0.91489,0.91637,0.87891,0.88023,0.70145,0.91637,0.87891,0.88023,0.6862,0.84498,1.24622,1.42936,1.27455,0.000429588,0.000429588,0.000429588
11,65.8423,0.51156,0.89197,0.82134,0.92175,0.84094,0.87258,0.87273,0.68798,0.84094,0.87258,0.87273,0.65541,0.90664,1.3935,1.5979,1.3031,0.000467427,0.000467427,0.000467427
12,72.289,0.53089,0.87933,0.91823,0.95304,0.98474,0.81338,0.87273,0.67986,0.98474,0.81338,0.87273,0.64901,0.91976,1.45409,1.64879,1.31346,0.000504028,0.000504028,0.000504028
13,78.9654,0.46136,0.80989,0.86387,0.902,0.97135,0.81005,0.85023,0.68814,0.97135,0.81005,0.85023,0.59831,0.86519,1.80329,1.7707,1.21954,0.000539391,0.000539391,0.000539391
14,85.6293,0.56579,0.95204,0.86972,0.92768,0.96425,0.80685,0.8487,0.71764,0.86009,0.7359,0.73149,0.54498,0.76518,2.26482,1.74895,1.10157,0.000573517,0.000573517,0.000573517
15,92.484,0.55357,0.9451,0.84789,0.93587,0.80264,0.80713,0.82027,0.71024,0.71695,0.74049,0.74999,0.5555,0.74685,2.38573,1.73312,1.15575,0.000606405,0.000606405,0.000606405
16,98.9962,0.55079,0.86454,0.90929,0.96385,0.78655,0.78557,0.83563,0.72882,0.7815,0.74566,0.76949,0.57018,0.77647,2.08292,1.79868,1.16595,0.000638055,0.000638055,0.000638055
17,106.355,0.59766,0.94115,0.91833,0.98618,0.93608,0.72306,0.86286,0.69606,0.93608,0.72306,0.80221,0.5689,0.86708,1.90985,1.90192,1.23772,0.000668467,0.000668467,0.000668467
18,114.402,0.64714,0.97401,0.88493,0.99506,0.92745,0.64192,0.84364,0.64278,0.92745,0.64192,0.78889,0.56647,0.9323,1.84846,1.94979,1.2913,0.000697642,0.000697642,0.000697642
19,121.679,0.6352,1.09478,0.90782,0.97473,0.81388,0.65974,0.79517,0.57099,0.81388,0.65974,0.79517,0.56343,1.05936,1.68986,2.04082,1.40251,0.000725578,0.000725578,0.000725578
20,128.881,0.60811,1.02433,0.89267,0.96122,0.82815,0.67033,0.79961,0.54948,0.82815,0.67033,0.75084,0.55384,1.07152,1.57233,2.09076,1.4229,0.000752278,0.000752278,0.000752278
21,136.742,0.64194,1.1381,1.03701,1.00105,0.81406,0.70879,0.8109,0.58845,0.81406,0.70879,0.7667,0.56795,1.12006,1.65363,1.94293,1.47344,0.000777739,0.000777739,0.000777739
22,145.113,0.63785,0.94133,0.92519,0.97428,0.82648,0.70879,0.79391,0.53122,0.82648,0.70879,0.79457,0.52125,1.15854,1.72515,1.98903,1.52192,0.000801962,0.000801962,0.000801962
23,153.35,0.63666,1.05751,0.92252,0.99215,0.77289,0.54825,0.64969,0.46188,0.96019,0.61968,0.73724,0.4489,1.16529,2.05252,2.05682,1.54495,0.000824948,0.000824948,0.000824948
24,161.657,0.60655,0.90549,0.8496,0.98175,0.93536,0.50625,0.57758,0.44334,0.93536,0.50625,0.58223,0.39082,1.0635,2.02105,2.22183,1.41155,0.000846696,0.000846696,0.000846696
