epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68057,1.07353,3.13908,3.32747,1.31135,0.00761,0.59545,0.11987,0.06664,0.00727,0.49545,0.15127,0.07737,0.82374,2.23165,3.80203,1.17569,2.858e-05,2.858e-05,2.858e-05
2,12.2961,0.87738,2.50593,3.21172,1.21087,0.00762,0.57273,0.20063,0.08337,0.00672,0.45,0.11862,0.06987,0.89874,2.27769,3.80203,1.21085,6.67343e-05,6.67343e-05,6.67343e-05
3,18.2481,0.78588,2.02559,3.06299,1.15173,0.00812,0.57273,0.29177,0.13316,0.00716,0.45,0.17973,0.11711,0.89841,2.20198,3.84584,1.2058,9.92298e-05,9.92298e-05,9.92298e-05
4,24.726,0.78412,2.00727,2.81717,1.13217,0.00692,0.52727,0.26239,0.15214,0.00711,0.45,0.19356,0.12808,0.91046,2.19262,3.81978,1.23205,0.000126066,0.000126066,0.000126066
5,31.1831,0.64672,1.5177,2.41191,1.05576,0.00731,0.55,0.28781,0.16712,0.00746,0.47273,0.21614,0.1493,0.88277,2.25311,3.74923,1.22772,0.000147244,0.000147244,0.000147244
6,37.1444,0.77898,1.49994,2.43777,1.20223,0.00722,0.55,0.30848,0.18608,0.0068,0.45,0.22411,0.15788,0.85269,2.39104,3.68515,1.18165,0.000162763,0.000162763,0.000162763
7,43.3241,0.65464,1.45307,2.25215,1.04761,0.00752,0.55,0.33875,0.19305,0.00704,0.45,0.25187,0.16995,0.96672,2.61207,3.6295,1.25502,0.000172623,0.000172623,0.000172623
8,49.3078,0.63519,1.31863,2.16875,1.09827,0.00755,0.55,0.40357,0.21142,0.00704,0.45,0.26964,0.182,0.99411,2.7329,3.63042,1.3008,0.000176824,0.000176824,0.000176824
9,55.2846,0.63429,1.37273,2.06651,1.08165,0.00822,0.57273,0.47374,0.23161,0.00766,0.47273,0.27968,0.19875,1.04841,2.6261,3.60445,1.33835,0.000175367,0.000175367,0.000175367
10,61.4492,0.564,1.23768,1.92908,1.0023,0.00785,0.57273,0.48693,0.2553,0.00728,0.47273,0.29658,0.21462,1.01605,2.48223,3.56491,1.31372,0.00016825,0.00016825,0.00016825
11,67.5091,0.64643,1.23704,2.05085,1.10264,0.00851,0.61818,0.5495,0.33536,0.00791,0.51818,0.3931,0.27122,0.92893,2.16068,3.44434,1.21345,0.000155475,0.000155475,0.000155475
12,73.6988,0.5756,1.08327,1.81717,1.00022,0.00892,0.64091,0.51237,0.33112,0.0083,0.54091,0.38705,0.26223,0.91039,2.11481,3.38749,1.18304,0.000137041,0.000137041,0.000137041
13,79.808,0.62846,1.282,1.81175,1.07002,0.00877,0.64091,0.48499,0.33868,0.00812,0.54091,0.39856,0.27742,0.89402,2.10885,3.30808,1.18042,0.000112948,0.000112948,0.000112948
14,85.9499,0.51165,1.07907,1.69779,1.00712,0.0943,0.61818,0.4884,0.33745,0.09454,0.54091,0.40202,0.2756,0.88923,2.04275,3.29267,1.18169,8.31964e-05,8.31964e-05,8.31964e-05
15,91.7405,0.52503,1.10189,1.78205,0.93509,1,0.21848,0.54695,0.3853,1,0.21848,0.42687,0.30756,0.86857,1.98944,3.23197,1.14979,4.77858e-05,4.77858e-05,4.77858e-05
