epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4557,1.03149,2.96599,3.26752,1.30341,0.00678,0.77473,0.18685,0.11678,0.00678,0.77473,0.20958,0.12926,0.82285,1.97524,3.79456,1.31149,2.858e-05,2.858e-05,2.858e-05
2,34.3243,0.85617,2.60372,3.22655,1.22375,0.0072,0.77473,0.27973,0.15684,0.0072,0.77473,0.26669,0.16188,0.77051,1.76665,3.7835,1.23864,5.73029e-05,5.73029e-05,5.73029e-05
3,40.2469,0.81838,2.029,3.05645,1.14018,0.00847,0.81319,0.33957,0.23109,0.00847,0.81319,0.32772,0.22397,0.74484,1.67288,3.73881,1.18061,6.90493e-05,6.90493e-05,6.90493e-05
4,46.2775,0.74947,1.88775,2.90412,1.11317,0.0086,0.74176,0.34333,0.24261,0.00897,0.81319,0.33802,0.23526,0.72314,1.64336,3.69745,1.16026,6.38191e-05,6.38191e-05,6.38191e-05
5,52.4742,0.7243,1.7762,2.78998,1.06609,0.00914,0.81319,0.36119,0.25555,0.00914,0.81319,0.35765,0.2376,0.69511,1.61005,3.68136,1.13732,4.16125e-05,4.16125e-05,4.16125e-05
