epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33587,0.9642,3.12313,3.12369,1.22696,0.00404,0.81319,0.1084,0.05305,0.00427,0.85165,0.06201,0.04155,0.82758,2.01347,3.59161,1.30817,3.334e-05,3.334e-05,3.334e-05
2,11.934,0.89938,2.55235,3.06209,1.22579,0.0045,0.89011,0.22467,0.14149,0.0045,0.89011,0.21908,0.13313,0.79908,1.80371,3.57161,1.26651,6.68467e-05,6.68467e-05,6.68467e-05
3,17.7324,0.7913,1.96136,2.88269,1.1453,0.00449,0.89011,0.31428,0.20991,0.00449,0.89011,0.30755,0.20789,0.81033,1.64844,3.54953,1.24567,8.05494e-05,8.05494e-05,8.05494e-05
4,23.5431,0.78896,1.95177,2.74108,1.1405,0.00449,0.89011,0.47342,0.27654,0.00449,0.89011,0.49315,0.28003,0.8175,1.63385,3.54295,1.22743,7.44482e-05,7.44482e-05,7.44482e-05
5,29.0404,0.76516,1.81788,2.57818,1.11154,0.0045,0.89011,0.492,0.3021,0.0045,0.89011,0.50576,0.29913,0.75666,1.62489,3.50369,1.17557,4.8543e-05,4.8543e-05,4.8543e-05
