epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25569,0.9642,3.12313,3.12369,1.22696,0.00404,0.81319,0.1084,0.05305,0.00427,0.85165,0.06201,0.04155,0.82758,2.01347,3.59161,1.30817,3.334e-05,3.334e-05,3.334e-05
2,10.3118,0.89578,2.53246,3.05447,1.22374,0.0045,0.89011,0.24341,0.16446,0.0045,0.89011,0.228,0.16369,0.80994,1.76553,3.56528,1.2674,8.05995e-05,8.05995e-05,8.05995e-05
3,15.2954,0.77685,1.88977,2.83166,1.1354,0.00449,0.89011,0.35512,0.23048,0.00449,0.89011,0.45979,0.2449,0.82402,1.63906,3.61278,1.26112,0.000124558,0.000124558,0.000124558
4,20.5384,0.76775,1.85206,2.54687,1.12338,0.00449,0.89011,0.46007,0.2635,0.00449,0.89011,0.47186,0.27502,0.79028,1.73184,3.53621,1.19572,0.000165216,0.000165216,0.000165216
5,25.5404,0.73887,1.68949,2.18145,1.08078,0.00453,0.89011,0.45751,0.30036,0.00453,0.89011,0.45751,0.28272,0.72446,1.89701,3.43075,1.12386,0.000202574,0.000202574,0.000202574
6,32.4531,0.74402,1.52122,1.811,1.0829,0.9322,0.24639,0.4453,0.28759,0.9322,0.24639,0.44265,0.27466,0.78922,1.95764,3.32902,1.15527,0.000236631,0.000236631,0.000236631
7,37.9653,0.69206,1.38204,1.57897,1.05012,1,0.21417,0.51778,0.32234,1,0.21417,0.5181,0.31137,0.79404,1.84977,3.25327,1.17231,0.000267387,0.000267387,0.000267387
8,43.7119,0.64279,1.24762,1.51422,1.04585,1,0.25187,0.51004,0.33151,1,0.25187,0.4875,0.3154,0.82633,1.79507,3.28631,1.19217,0.000294842,0.000294842,0.000294842
9,49.5008,0.78848,1.69086,1.54349,1.06482,1,0.27996,0.60764,0.39433,1,0.27996,0.59811,0.38331,0.85741,1.7451,3.22704,1.21412,0.000318997,0.000318997,0.000318997
10,55.1751,0.68632,1.28201,1.45111,1.00742,1,0.31983,0.71163,0.49065,1,0.31983,0.70098,0.47697,0.86619,1.71035,3.1536,1.20449,0.000339851,0.000339851,0.000339851
11,61.3281,0.70386,1.27019,1.3294,1.01104,1,0.36684,0.73222,0.49276,1,0.36684,0.70429,0.47131,0.84005,1.86781,2.99877,1.1662,0.000357405,0.000357405,0.000357405
12,67.0432,0.66923,1.246,1.31864,1.02417,0.95944,0.5637,0.8109,0.5517,0.95944,0.5637,0.7969,0.46466,0.85044,1.93658,2.91098,1.20041,0.000371658,0.000371658,0.000371658
13,72.4033,0.55327,1.09012,1.19842,0.94479,0.93876,0.59321,0.78814,0.53208,0.74526,0.5989,0.7147,0.45851,0.96274,2.1523,2.64505,1.31208,0.00038261,0.00038261,0.00038261
14,78.3686,0.66406,1.21046,1.187,0.98253,0.81131,0.6536,0.73491,0.51596,0.80584,0.59814,0.69754,0.46496,0.92693,2.37265,2.57177,1.32166,0.000390261,0.000390261,0.000390261
15,83.9575,0.65478,1.17053,1.09505,0.98306,0.68754,0.63724,0.65766,0.46066,0.67161,0.5989,0.60845,0.43473,0.95464,2.41132,2.60548,1.37512,0.000394612,0.000394612,0.000394612
16,89.4065,0.62994,1.0351,1.15604,1.01635,0.74189,0.67033,0.69887,0.48117,0.70808,0.52747,0.6119,0.42875,0.9589,2.32184,2.64432,1.37184,0.000395662,0.000395662,0.000395662
17,95.0148,0.66916,1.05332,1.14625,1.00835,0.90046,0.58958,0.6764,0.44633,0.81453,0.506,0.6068,0.3915,1.03958,2.15505,2.83406,1.46632,0.000393412,0.000393412,0.000393412
18,100.841,0.66919,1.10236,1.19477,1.01204,0.73993,0.60534,0.66118,0.4925,0.73993,0.60534,0.65862,0.40008,0.99908,2.2151,2.83539,1.41707,0.000387861,0.000387861,0.000387861
19,106.659,0.68815,1.25,1.10529,1.00557,0.68099,0.54296,0.65369,0.48696,0.68099,0.54296,0.65369,0.37932,0.95762,2.11692,2.85652,1.33658,0.000379009,0.000379009,0.000379009
20,112.391,0.65806,1.09371,1.15788,0.99579,0.69364,0.48124,0.64993,0.48516,0.69364,0.48124,0.63907,0.39657,0.91669,1.8611,2.86219,1.29434,0.000366857,0.000366857,0.000366857
21,118.206,0.64434,1.0909,1.71776,1.00326,0.72285,0.50894,0.61154,0.4466,0.72285,0.50894,0.61171,0.35667,0.95027,1.76474,2.99639,1.3363,0.000351404,0.000351404,0.000351404
22,123.823,0.59977,0.96476,1.52192,0.98402,0.76191,0.43359,0.5694,0.38674,0.76191,0.43359,0.56838,0.35325,1.07854,1.85716,3.12666,1.4378,0.00033265,0.00033265,0.00033265
23,129.341,0.5608,1.07155,1.56035,0.93363,0.77967,0.46141,0.55948,0.38139,0.78182,0.46002,0.55011,0.34298,1.14898,1.86791,3.11434,1.50453,0.000310595,0.000310595,0.000310595
24,135.328,0.6074,0.96302,1.49761,0.96802,0.7636,0.45248,0.56586,0.39707,0.7636,0.45248,0.5655,0.3739,1.08693,1.82253,3.07191,1.47465,0.00028524,0.00028524,0.00028524
25,140.796,0.61658,1.0454,1.62673,1.0028,0.71425,0.47737,0.55418,0.38388,0.71425,0.47737,0.55147,0.35484,1.04034,1.68822,2.97462,1.43932,0.000256585,0.000256585,0.000256585
26,146.417,0.54014,0.97406,1.42204,0.95729,0.75903,0.46581,0.58512,0.39314,0.75903,0.46581,0.58512,0.39238,0.98776,1.55161,2.87699,1.38419,0.000224628,0.000224628,0.000224628
27,151.881,0.53658,0.93129,1.35447,0.96495,0.87182,0.53366,0.6269,0.42835,0.87182,0.53366,0.6269,0.41967,0.9242,1.52723,2.83844,1.32909,0.000189371,0.000189371,0.000189371
28,157.564,0.5477,0.96339,1.3811,0.93743,0.84708,0.55643,0.6479,0.43938,0.84708,0.55643,0.64815,0.44286,0.88788,1.50363,2.75437,1.3113,0.000150813,0.000150813,0.000150813
29,162.967,0.51585,0.89964,1.26229,0.89105,0.84708,0.55643,0.6479,0.43938,0.84708,0.55643,0.64815,0.44286,0.88788,1.50363,2.75437,1.3113,0.000108955,0.000108955,0.000108955
30,168.369,0.50215,0.85018,1.25307,0.93056,0.74156,0.58481,0.66443,0.46214,0.74156,0.58481,0.66585,0.44935,0.88932,1.41822,2.65282,1.28336,6.37961e-05,6.37961e-05,6.37961e-05
